日期,进口商名称(标准),进口商名称(原始),出口商名称(标准),出口商名称(原始),海关编码,产品(英文),产品描述,千克重量,数量,数量单位,美元总价,重量美元单价,数量美元单价,原产国,目的国,起运港,目的港,数据源,进/出口,运输方式,成交方式
2026-03-21,INDUSTRIAL SPECIALIZED SUPPLIERS E I R L,INDUSTRIAL SPECIALIZED SUPPLIERS E.I.R.L,MARLEW SA,MARLEW SA,8544491090,CABLE FUEGAR BLOCK,"CABLE FUEGAR BLOCK,MARLEW,#RP-A 3X1.5+PE1.5, CLASE 5 [IEC 60228]; BLINDAJE GENERAL: DRENAJE CUSN + CINTA DE ALUMINIO/POLIESTER CUBIERTA EXTERIOR LSZH / NARANJA / 0.6/1KV / IEC 60502-1 / IEC 60331-21 FUEGAR BLOCK / AISLACION: MICA+XLPE / 90?C / 3X1.5+PE1.5MM2; CONDUCTORES DE COBRE ELECTROL CON OFICIO N? 00154-2026-PRODUCE/DOPIF",110.94,110.94,KGS,2217.79,19.9909,3.0932,Argentina,Peru,BUENOS AIRES,,peru,imports,SEA,FOB
2026-03-21,INDUSTRIAL SPECIALIZED SUPPLIERS E I R L,INDUSTRIAL SPECIALIZED SUPPLIERS E.I.R.L,MARLEW SA,MARLEW SA,8544491090,CABLE FUEGAR BLOCK,"CABLE FUEGAR BLOCK,MARLEW,#RM-A 12X1.5, CLASE 5 [IEC 60228] / BLINDAJE GENERAL: DRENAJE CUSN + CINTA DE ALUMINIO/POLIESTER CUBIERTA EXTERIOR LSZH / NARANJA / 0.6/1KV / IEC 60502-1 / IEC 60332-3-24 / IEC 60331-21 FUEGAR BLOCK / AISLACION: MICA+XLPE / 90?C / 12X1.5MM2 / CONDUCTORES DE COBRE ELECTROLITIC CON OFICIO N? 03295-2025-PRODUCE/DOPIF",235.7,235.7,KGS,4711.92,19.9912,6.4283,Argentina,Peru,BUENOS AIRES,,peru,imports,SEA,FOB
2026-03-21,INDUSTRIAL SPECIALIZED SUPPLIERS E I R L,INDUSTRIAL SPECIALIZED SUPPLIERS E.I.R.L,MARLEW SA,MARLEW SA,8544491090,CABLE FUEGAR BLOCK,"CABLE FUEGAR BLOCK,MARLEW,#RP 3X35+B16, CLASE 5 [IEC 60228] / BLINDAJE: CINTAS Y/O ALAMBRES DE COBRE / CUBIERTA EXTERIOR LSZH NARANJA / 0.6/1KV / IEC 60502-1 / IEC 60331-21 FUEGAR BLOCK / AISLACION: MICA+XLPE / 90?C / 3X35+B16MM2 / CONDUCTORES DE COBRE ELECTROLIT CON OFICIO N? 00494-2026-PRODUCE/DOPIF",391.95,391.95,KGS,7835.54,19.9912,36.4444,Argentina,Peru,BUENOS AIRES,,peru,imports,SEA,FOB
2026-03-21,INDUSTRIAL SPECIALIZED SUPPLIERS E I R L,INDUSTRIAL SPECIALIZED SUPPLIERS E.I.R.L,MARLEW SA,MARLEW SA,8544491090,-,"CABLE FUEGAR BLOCK,MARLEW,#RP-A 3X2.5+PE2.5, CLASE 5 [IEC 60228] / BLINDAJE GENERAL: DRENAJE CUSN + CINTA DE ALUMINIO/POLIESTER CUBIERTA EXTERIOR LSZH / NARANJA / 0.6/1KV / IEC 60502-1 / IEC 60331-21 FUEGAR BLOCK / AISLACION: MICA+XLPE / 90?C / 3X2.5+PE2.5MM2 / CONDUCTORES DE COBRE ELECTRO CON OFICIO N? 00494-2026-PRODUCE/DOPIF",142.34,142.34,KGS,2845.58,19.9914,4.524,Argentina,Peru,BUENOS AIRES,,peru,imports,SEA,FOB
2026-03-21,ANIXTER PERU S A C,ANIXTER PERU S.A.C.,ANIXTER INC,ANIXTER INC,8544491090,-,"CABLE DE COBRE, SOUTHWIRE, SOOW 4AX-1203-05-MT 12-3C TYPE SOOW YELLOW JACKET 600V 105C UL/CSA/MSHA/ROHS",38.45,38.45,KGS,3083.83,80.2036,5.0555,United States,Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-21,INDUSTRIAL SPECIALIZED SUPPLIERS E I R L,INDUSTRIAL SPECIALIZED SUPPLIERS E.I.R.L,MARLEW SA,MARLEW SA,8544491090,-,"CABLE FUEGAR BLOCK,MARLEW,#RP 3X95+B50, CLASE 5 [IEC 60228] / BLINDAJE: CINTAS Y/O ALAMBRES DE COBRE / CUBIERTA EXTERIOR LSZH NARANJA / 0.6/1KV / IEC 60502-1 / IEC 60331-21 FUEGAR BLOCK / AISLACION: MICA+XLPE / 90?C / 3X95+B50MM2 / CONDUCTORES DE COBRE ELECTROLIT CON OFICIO N? 00494-2026-PRODUCE/DOPIF",621.06,621.06,KGS,12415.48,19.9908,75.2453,Argentina,Peru,BUENOS AIRES,,peru,imports,SEA,FOB
2026-03-21,KOMATSU MITSUI MAQUINARIAS PERU S A,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,KOMATSU AMERICA CORPORATION,KOMATSU AMERICA CORPORATION,8544491090,ELECTRIC CABLE,"CABLE, S/M, S/M COBRE Y POLIETILENO CABLE ELECTRICO PARA CONEXION DE COMPONENTES DE GABINETE DE CONTRON 1000V NO TIENE CONECTO PALA ELECTROMECANICA CABLE PH2022 #4/0 5/15 FT",28.04,28.04,KGS,4838.47,172.556,32.2565,United States,Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-21,CIENTIFICA ANDINA S A C,CIENTIFICA ANDINA S.A.C.,PERKIN ELMER HEALTH SCIENCES,PERKIN ELMER HEALTH SCIENCES,8544499090,-,"CABLE ASSY - SENSOR DE BRAZO DEL QUEMADOR TUCSON, PERKIN ELMER, S/M CABLE ASSY - SENSOR DE BRAZO DEL QUEMADOR TUCSON CODIGO: N3160285 CABLE ASSY-TUCSON BURNER ARM SENSOR MEDIO DE PAGO: CREDITO A 60 DIAS DESDE FECHA DE FACTURA COMERCIAL",0.27,0.27,KGS,72.86,269.8519,72.86,Singapore,Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-21,SERVICIOS DUBAI S A C,SERVICIOS DUBAI S.A.C.,TAIZHOU GUTEN MACHINERY PARTS CO LTD,"TAIZHOU GUTEN MACHINERY PARTS CO.,LTD",8544499090,CABLE,"CABLE FOTOVOLTAICO NEGRO 6MM2, OEM, PV CODIGO: ENERC0030001 CABLE DE FUERZA CABLE FOTOVOLTAICO NEGRO 6MM2 JEBE /METAL",41.25,41.25,KGS,204.34,4.9537,68.1133,China,Peru,SHANGHAI HONGQIAO INTERNATIONAL APT,,peru,imports,SEA,FOB
2026-03-21,CIENTIFICA ANDINA S A C,CIENTIFICA ANDINA S.A.C.,PERKIN ELMER HEALTH SCIENCES,PERKIN ELMER HEALTH SCIENCES,8544499090,CABLE ASSY MONGOOSE DRAIN TO BURNER,"CABLE MONGOOSE DRENAJE AL QUEMADOR, PERKIN ELMER, S/M CABLE MONGOOSE DRENAJE AL QUEMADOR CODIGO: N3180609 CABLE ASSY- MONGOOSE DRAIN TO BURNER MEDIO DE PAGO: CREDITO A 60 DIAS DESDE FECHA DE FACTURA COMERCIAL",0.22,0.22,KGS,61.31,278.6818,61.31,Singapore,Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-21,SERVICIOS DUBAI S A C,SERVICIOS DUBAI S.A.C.,TAIZHOU GUTEN MACHINERY PARTS CO LTD,"TAIZHOU GUTEN MACHINERY PARTS CO.,LTD",8544499090,CABLE,"CABLE FOTOVOLTAICO ROJO 6MM2, OEM, PV CODIGO: ENERC0030002 CABLE DE FUERZA CABLE FOTOVOLTAICO ROJO 6MM2 JEBE /METAL",41.25,41.25,KGS,204.34,4.9537,68.1133,China,Peru,SHANGHAI HONGQIAO INTERNATIONAL APT,,peru,imports,SEA,FOB
2026-03-21,XYLEM WATER SOLUTIONS PERU S A,XYLEM WATER SOLUTIONS PERU S.A.,XYLEM WATER SOLUTIONS ARGENTINA S A,XYLEM WATER SOLUTIONS ARGENTINA S A,8544491090,-,"CABLE ELECTRICO SUMERGIBLE, FLYGT, S/M PART NUMBER: 941984 TRANSPORTAR LA ENERGIA ELECTRICA CABLE SUBCAB 4G35+S[2X0.5]",775.0,775.0,KGS,17738.85,22.8888,59.1295,Germany,Peru,MINISTRO PISTARINI APT/BUENOS AIRES,,peru,imports,AIR,FOB
2026-03-21,ANIXTER PERU S A C,ANIXTER PERU S.A.C.,ANIXTER INC,ANIXTER INC,8544491090,-,"CABLE UTP CATERGORIA 5E, BELDEN, 1700A F2VU1000 CM-00424CAX-6UB 24-4P UTP-CM SOL BC CAT5E PO/PVC GRAY 1000FT RLX BONDED-PAIR",27.97,27.97,KGS,2334.21,83.4541,233.421,Mexico,Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-21,ANIXTER PERU S A C,ANIXTER PERU S.A.C.,ANIXTER INC,ANIXTER INC,8544491090,CONTROL CABLE,"CABLE DE CONTROL MATERIAL COBRE, LIBERTY AV, LUTRON-P-YEL LUTRON-P-YEL LIBAV P/N LUTRON-P-YEL LUTRON KEYPAD CNTRL CMP WH/YL 1000FT SPOOL",47.03,47.03,KGS,4022.62,85.5331,236.6247,"Taiwan, China",Peru,MIAMI,,peru,imports,AIR,FOB
2026-03-20,IMPORTADORA VARGAS GARCIA SRL,IMPORTADORA VARGAS GARCIA SRL.,JINGSU E COMMERCE LTD 628 CHENGXIN AVE S N ZHENJIANG CHINA 86 57185022088 INFO JINGSUECOMMERCELTD COM,"JINGSU E-COMMERCE LTD, 628 CHENGXIN AVE, S/N, ZHENJIANG, CHINA, (86)57185022088,  info@jingsuecommerceltd.com",8544499000,CABLE,CABLE FLEX,0.02,0.02,,10.58,529.0,529.0,Colombia,Bolivia,,,bolivia,imports,AIR,EXW
2026-03-20,IMPORTADORA VARGAS GARCIA SRL,IMPORTADORA VARGAS GARCIA SRL.,JINGSU E COMMERCE LTD 628 CHENGXIN AVE S N ZHENJIANG CHINA 86 57185022088 INFO JINGSUECOMMERCELTD COM,"JINGSU E-COMMERCE LTD, 628 CHENGXIN AVE, S/N, ZHENJIANG, CHINA, (86)57185022088,  info@jingsuecommerceltd.com",8544499000,CABLE,CABLE,0.15,0.15,,1.06,7.0667,7.0667,Colombia,Bolivia,,,bolivia,imports,AIR,EXW
2026-03-20,CERAMICA GLADYMAR S A,CERAMICA GLADYMAR S.A.,BARBIERI AND TAROZZI IBERICA S L P I SUPOI Nº8 PARCELA M5 B1 APTDO ALMAZORA ESPAÑA 964 562311 INFO BT IBERICA NET,"BARBIERI & TAROZZI IBERICA S.L., P.I. SUPOI Nº8 PARCELA, M5-B1 APTDO, ALMAZORA, ESPAÑA, (964)562311,  info@bt-iberica.net",8544499000,-,CABLE DE COLLEGAMENTO,0.03,0.03,,162.18,5406.0,5406.0,,Bolivia,,,bolivia,imports,MULTIMODEL,EXW
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,POWER UP AND DOWN PENDANT TRACK,E20 Power up and down pendant track 3M E20 Power up and down pendant track 3M E20 Power up and down pendant track 3M SIN MARCA SIN MODELO,0.25,0.26,KGS,22.43,89.72,86.2692,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,CURIMINING S A,CURIMINING S. A,BEIJING XINCHANG HUAQIANG INDUSTRY,BEIJING XINCHANG HUAQIANG INDUSTRY,8544499000,CABLE,CABLE CABLE CABLE SM SM,674.35,2004.0,KGS,4889.76,7.2511,2.44,China,Ecuador,CNSHA-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Xtech UTP Cbl CAT5e 1000ft Gray XTC-220 24 AWG EQUIPOS DE COMPUTO XTECH XTC-220,1.64,2.0,KGS,48.69,29.689,24.345,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,CURIMINING S A,CURIMINING S. A,BEIJING XINCHANG HUAQIANG INDUSTRY,BEIJING XINCHANG HUAQIANG INDUSTRY,8544499000,CABLE,CABLE CABLE CABLE SM SM,676.44,245.0,KGS,4904.9,7.251,20.02,China,Ecuador,CNSHA-,,ecuador,imports,SEA,
2026-03-20,CURIMINING S A,CURIMINING S. A,BEIJING XINCHANG HUAQIANG INDUSTRY,BEIJING XINCHANG HUAQIANG INDUSTRY,8544499000,CABLE,CABLE CABLE CABLE SM SM,28.52,49.0,KGS,206.78,7.2504,4.22,China,Ecuador,CNSHA-,,ecuador,imports,SEA,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,RECESSED TRACK,MG-Track Recessed DC48V MG-Track Recessed DC48V MG-Track Recessed DC48V SIN MARCA SIN MODELO,30.49,30.55,KGS,1559.8,51.1578,51.0573,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,ROUND MAGNETIC TRACK,Round Magnetic Track DC24V Round Magnetic Track DC24V Round Magnetic Track DC24V SIN MARCA SIN MODELO,5.08,5.09,KGS,181.4,35.7087,35.6385,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Enterprise Cat6A F UTP Cable 4P 23AWG LSZH 305m GR EQUIPOS DE COMPUTO NEXXT NAB-UTP6AFGR,12.32,15.0,KGS,2190.83,177.8271,146.0553,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Professional Cat6 UTP Cable 4P 24AWG CM 305m GR EQUIPOS DE COMPUTO NEXXT AB356NXT31,11.5,14.0,KGS,1277.9,111.1217,91.2786,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,HALLIBURTON LATIN AMERICA S R L,HALLIBURTON LATIN AMERICA S.R.L.,HALLIBURTON ENERGY SERVICE INC,HALLIBURTON ENERGY SERVICE INC,8544499000,CABLE,"CABLE CBL,MLD,DRAD,SPEC CABLE HALLIBURTON 100034806",2.04,2.18,KGS,386.14,189.2843,177.1284,Mexico,Ecuador,MIA-MIAMI (MIA)-MIAMI INTERNATIONAL AIRPORT,,ecuador,imports,AIR,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,MG-TRACK SURFACE,MG-Track surface DC48V MG-Track surface DC48V MG-Track surface DC48V SIN MARCA SIN MODELO,8.13,8.15,KGS,481.76,59.2571,59.1117,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,TRACK TRIMLESS,MG-TRACK TRIMLESS DC24V MG-TRACK TRIMLESS DC24V MG-TRACK TRIMLESS DC24V SIN MARCA SIN MODELO,15.25,15.27,KGS,508.42,33.339,33.2954,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Enterprise Cat6 UTP Cable 4P 23AWG CM 305m GR EQUIPOS DE COMPUTO NEXXT AB356NXT01,47.65,58.0,KGS,6359.39,133.4604,109.6447,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,CURIMINING S A,CURIMINING S. A,BEIJING XINCHANG HUAQIANG INDUSTRY,BEIJING XINCHANG HUAQIANG INDUSTRY,8544499000,CABLE,CABLE CABLE CABLE SM SM,355.55,283.0,KGS,2578.13,7.2511,9.11,China,Ecuador,CNSHA-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Professional Cat5e UTP Cable 4P 24AWG CM 305m GR EQUIPOS DE COMPUTO NEXXT AB355NXT31,3.29,4.0,KGS,300.06,91.2036,75.015,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,SURFACE MAGNETIC TRACK,SURFACE MAGNETIC TRACK SURFACE MAGNETIC TRACK SURFACE MAGNETIC TRACK SIN MARCA SIN MODELO,15.25,15.27,KGS,313.44,20.5534,20.5265,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,SURFACE MG-TRACK,SURFACE MG-TRACK DC24V SURFACE MG-TRACK DC24V SURFACE MG-TRACK DC24V SIN MARCA SIN MODELO,0.25,0.26,KGS,7.57,30.28,29.1154,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Essential Cat5e UTP Cable 4P CMX Outdoor 305m Black EQUIPOS DE COMPUTO NEXXT AB355NXT17,3.29,4.0,KGS,327.15,99.4377,81.7875,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,INTCOMEX DEL ECUADOR S A,INTCOMEX DEL ECUADOR S.A.,INTCOMEX,INTCOMEX,8544499000,DATA CABLE,CABLE DE DATOS Nexxt Professional Cat6 UTP Cable 4P 24AWG CM 305m BL EQUIPOS DE COMPUTO NEXXT AB356NXT32,6.57,8.0,KGS,730.23,111.1461,91.2788,China,Ecuador,PAMIT-,,ecuador,imports,SEA,
2026-03-20,CURIMINING S A,CURIMINING S. A,BEIJING XINCHANG HUAQIANG INDUSTRY,BEIJING XINCHANG HUAQIANG INDUSTRY,8544499000,CABLE,CABLE CABLE CABLE SM SM,1249.5,165.0,KGS,9060.15,7.251,54.91,China,Ecuador,CNSHA-,,ecuador,imports,SEA,
2026-03-20,HALLIBURTON LATIN AMERICA S R L,HALLIBURTON LATIN AMERICA S.R.L.,HALLIBURTON ENERGY SERVICE INC,HALLIBURTON ENERGY SERVICE INC,8544499000,CABLE,"CABLE CBL ASSY,10-PIN TO SUBBUS,CAN-DB9F,RS485 CABLE HALLIBURTON 102786669",8.76,9.37,KGS,1831.57,209.0833,195.4717,United States,Ecuador,MIA-MIAMI (MIA)-MIAMI INTERNATIONAL AIRPORT,,ecuador,imports,AIR,
2026-03-20,TORRES CASTILLO FELIX MAURICIO,TORRES CASTILLO FELIX MAURICIO,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,GUANGDONG JINYIN LIGHTING DECORATION CO LTD,8544491019,TRACK,SOFT TRACK 5 METER ROLL SOFT TRACK 5 METER ROLL SOFT TRACK 5 METER ROLL SIN MARCA SIN MODELO,7.62,7.64,KGS,585.54,76.8425,76.6414,China,Ecuador,CNSHK-,,ecuador,imports,SEA,
2026-03-20,IDEA IMPORT E I R L,IDEA IMPORT E.I.R.L.,HANGZHOU GRANDIX ELECTRONICS CO LTD,HANGZHOU GRANDIX ELECTRONICS CO LTD,8544499090,SNAKE CABLE,"SNAKE CABLE,S/M,SNP002-3, PLASTICO Y METAL CONEXION DE CABLE DE MICROFONO SNAKE CABLE",2.45,2.45,KGS,18.72,7.6408,18.72,China,Peru,NINGBO LISHE INTERNATIONAL APT,,peru,imports,SEA,FOB
